variable,unit_lpjml
cft_airrig,mm/yr
cft_evap,mm/yr
cft_evap_grass,mm/yr
cft_gpp,gC/m2/yr
cft_gpp_grass,gC/m2/yr
cft_interc,mm/yr
cft_interc_grass,mm/yr
cft_nir,mm/yr
cft_transp,mm/yr
cft_transp_grass,mm/yr
cftfrac,
discharge,hm3/month
evap,mm/month
evap_grass_ir,mm/month
evap_grass_rf,mm/month
evap_lake,mm/month
firec,gC/m2/yr
fpc,
gpp,gC/m2/month
gpp_grass_ir,gC/m2/month
gpp_grass_rf,gC/m2/month
hdate,
interc,mm/month
interc_grass_ir,mm/month
interc_grass_rf,mm/month
lake_area,m2
land_area,m2
litburnc,gC/m2/yr
litburnc_wood,gC/m2/yr
litc,gC/m2
litfallc,gC/m2/yr
litfallc_wood,gC/m2/yr
nbp,gC/m2/yr
npp,gC/m2/month
pet,mm/month
pft_harvestc,gC/m2/yr
pft_vegc,gC/m2
prec,mm/month
runoff,mm/month
sdate,
soilc,gC/m2
soilc_layer,gC/m2
terr_area,m2
transp,mm/month
transp_grass_ir,mm/month
transp_grass_rf,mm/month
vegc,gC/m2
vegc_avg,gC/m2
