MAgPIE,LPJmL5,Reportingnames
tece,temperate cereals,Temperate cereals
maiz,maize,Maize
trce,tropical cereals,Tropical cereals
rice_pro,rice,Rice
soybean,oil crops soybean,Soybean
rapeseed,oil crops rapeseed,Other oil crops (incl rapeseed)
groundnut,oil crops groundnut,Groundnuts
sunflower,oil crops sunflower,Sunflower
oilpalm,oil crops groundnut,Oilpalms
puls_pro,pulses,Pulses
potato,temperate roots,Potatoes
cassav_sp,tropical roots,Tropical roots
sugr_cane,sugarcane,Sugar cane
sugr_beet,temperate roots,Sugar beet
others,maize,Fruits Vegetables Nuts
cottn_pro,oil crops groundnut,Cotton
foddr,maize,Forage
pasture,pasture,Pasture
begr,biomass grass,Short rotation grasses
betr,biomass tree,Short rotation trees
